,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company
1100,Tata Indica DLE,2005,100000,100000,Diesel,Individual,Manual,First Owner,Tata
1101,Tata Indica DLS,2006,85000,300000,Diesel,Individual,Manual,Second Owner,Tata
1102,Tata Indigo LX,2009,130000,110000,Diesel,Individual,Manual,Third Owner,Tata
1103,Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000,27620,Diesel,Dealer,Manual,First Owner,Ford
1104,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,70000,Petrol,Individual,Manual,First Owner,Ford
1105,Honda City S,2012,320000,50000,Petrol,Individual,Manual,Second Owner,Honda
1106,Maruti Swift Dzire VDI,2015,480000,50000,Diesel,Individual,Manual,First Owner,Maruti
1107,Mercedes-Benz New C-Class C 220 CDI Grand Edition,2014,2490000,46000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz
1108,Toyota Innova 2.5 VX 8 STR,2012,790000,82000,Diesel,Individual,Manual,First Owner,Toyota
1109,Maruti Omni MPI STD BSIV,2016,120000,120000,Petrol,Individual,Manual,First Owner,Maruti
1110,Maruti Alto LXi,2006,75000,80000,Petrol,Individual,Manual,Third Owner,Maruti
1111,Tata Indica GLS BS IV,2010,99000,70000,Petrol,Individual,Manual,First Owner,Tata
1112,Maruti S-Cross Zeta DDiS 200 SH,2018,1015000,20000,Diesel,Individual,Manual,First Owner,Maruti
1113,Mahindra Xylo D4 BSIV,2013,250000,200000,Diesel,Individual,Manual,Second Owner,Mahindra
1114,Toyota Innova Crysta 2.5 VX BS IV,2011,520000,120000,Diesel,Individual,Manual,First Owner,Toyota
1115,Hyundai Verna CRDi 1.6 AT SX Option,2018,1100000,30000,Diesel,Individual,Automatic,First Owner,Hyundai
1116,Toyota Innova 2.5 V Diesel 7-seater,2005,200000,223000,Diesel,Individual,Manual,First Owner,Toyota
1117,Maruti Swift Dzire VDI,2016,525000,60000,Diesel,Individual,Manual,First Owner,Maruti
1118,Hyundai i20 Asta 1.2,2016,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai
1119,Mahindra Scorpio S2 7 Seater,2016,675000,161327,Diesel,Individual,Manual,First Owner,Mahindra
1120,Hyundai i10 Magna 1.2 iTech SE,2009,150000,60000,Petrol,Individual,Manual,Third Owner,Hyundai
1121,Mahindra Bolero DI,2007,250000,50000,Diesel,Individual,Manual,First Owner,Mahindra
1122,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,450000,6000,Petrol,Individual,Manual,First Owner,Hyundai
1123,Hyundai Santro Xing XS,2009,150000,68000,Petrol,Individual,Manual,Second Owner,Hyundai
1124,Chevrolet Beat Diesel LS,2012,200000,85000,Diesel,Individual,Manual,First Owner,Chevrolet
1125,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,525000,70000,Diesel,Individual,Automatic,First Owner,Mahindra
1126,Maruti Esteem VX,1999,60000,35000,Petrol,Individual,Manual,Second Owner,Maruti
1127,Maruti Swift Vdi BSIII,2010,180000,100000,Diesel,Individual,Manual,Second Owner,Maruti
1128,Honda Amaze S i-Dtech,2015,475000,110000,Diesel,Individual,Manual,First Owner,Honda
1129,Mahindra Scorpio VLS AT 2.2 mHAWK,2010,380000,195000,Diesel,Individual,Automatic,Second Owner,Mahindra
1130,Maruti Alto 800 LXI,2015,285000,46000,Petrol,Individual,Manual,Second Owner,Maruti
1131,Maruti Alto LXi BSIII,2008,91200,60000,Petrol,Individual,Manual,Second Owner,Maruti
1133,Hyundai Grand i10 CRDi Sportz,2015,400000,42000,Diesel,Individual,Manual,First Owner,Hyundai
1134,Hyundai Santro Xing XG AT,2006,160000,90000,Petrol,Individual,Automatic,Second Owner,Hyundai
1135,Skoda Yeti Ambition 4X2,2012,650000,85000,Diesel,Individual,Manual,Second Owner,Skoda
1136,Hyundai Verna 1.6 SX,2012,409999,120000,Diesel,Individual,Manual,Third Owner,Hyundai
1137,Ford Ecosport 1.5 DV5 MT Titanium,2013,425000,72000,Diesel,Individual,Manual,First Owner,Ford
1138,Maruti Wagon R LXI CNG,2013,250000,71000,CNG,Individual,Manual,Second Owner,Maruti
1139,Maruti Swift Dzire VXi,2009,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
1141,Volkswagen Polo Diesel Trendline 1.2L,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,Volkswagen
1142,Maruti Eeco 5 Seater AC BSIV,2017,260000,30000,Petrol,Dealer,Manual,First Owner,Maruti
1143,Hyundai Verna SX,2007,155000,65000,Petrol,Dealer,Manual,First Owner,Hyundai
1144,Honda Jazz 1.5 VX i DTEC,2015,450000,38000,Diesel,Individual,Manual,First Owner,Honda
1145,Maruti SX4 Celebration Petrol,2012,220000,90000,Petrol,Individual,Manual,Second Owner,Maruti
1146,Hyundai i20 Active S Diesel,2018,650000,37000,Diesel,Dealer,Manual,First Owner,Hyundai
1147,Maruti Alto 800 LXI,2018,285000,30000,Petrol,Dealer,Manual,First Owner,Maruti
1148,Honda Amaze V CVT Petrol BSIV,2018,725000,26000,Petrol,Dealer,Automatic,First Owner,Honda
1149,Maruti Ciaz ZXi,2016,625000,30000,Petrol,Dealer,Manual,First Owner,Maruti
1150,Hyundai i20 Active SX Petrol,2016,550000,23000,Petrol,Dealer,Manual,First Owner,Hyundai
1151,Hyundai i10 Magna,2012,240000,40000,Petrol,Dealer,Manual,First Owner,Hyundai
1152,Nissan Terrano XL 85 PS,2014,600000,27000,Diesel,Dealer,Manual,First Owner,Nissan
1153,Tata New Safari DICOR 2.2 EX 4x2,2012,350000,65000,Diesel,Dealer,Manual,First Owner,Tata
1154,Hyundai EON Magna Plus,2015,245000,32000,Petrol,Dealer,Manual,First Owner,Hyundai
1155,Mahindra Bolero B6,2016,600000,56000,Diesel,Dealer,Manual,First Owner,Mahindra
1156,BMW X1 sDrive 20d xLine,2017,2400000,30000,Diesel,Individual,Automatic,First Owner,BMW
1157,Mahindra Scorpio SLE BS IV,2014,620000,80000,Diesel,Dealer,Manual,First Owner,Mahindra
1158,Maruti Swift Dzire 1.2 Vxi BSIV,2014,395000,52000,Petrol,Dealer,Manual,Second Owner,Maruti
1159,Maruti Ertiga ZXI,2014,635000,13250,Petrol,Dealer,Manual,First Owner,Maruti
1160,Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner,Maruti
1161,Maruti Swift ZDI Plus,2015,484999,73000,Diesel,Dealer,Manual,Second Owner,Maruti
1162,Maruti Alto LX,2004,110000,60000,Petrol,Individual,Manual,First Owner,Maruti
1163,Maruti Wagon R VXI BSIII,2006,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti
1164,Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000,110000,Diesel,Individual,Manual,First Owner,Chevrolet
1165,Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,200000,70000,Diesel,Individual,Manual,Second Owner,Tata
1166,Renault Duster 85PS Diesel RxL Plus,2013,302000,60000,Diesel,Individual,Manual,Second Owner,Renault
1167,Maruti Swift Dzire Vdi BSIV,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti
1168,Maruti Wagon R VXI BSIII,2004,155000,80000,Petrol,Individual,Manual,Second Owner,Maruti
1169,Toyota Innova 2.5 G (Diesel) 8 Seater,2014,1000000,101000,Diesel,Individual,Manual,Second Owner,Toyota
1170,Mahindra Bolero Power Plus SLX,2018,550000,44000,Diesel,Individual,Manual,First Owner,Mahindra
1171,Maruti Swift 1.3 VXi,2006,200000,45000,Petrol,Individual,Manual,First Owner,Maruti
1172,Mahindra Scorpio S2 7 Seater,2017,750000,120000,Diesel,Individual,Manual,First Owner,Mahindra
1173,Maruti Zen LXI,2005,90000,90000,Petrol,Individual,Manual,Second Owner,Maruti
1174,Maruti Wagon R LXI Minor,2007,80000,120000,Petrol,Individual,Manual,Second Owner,Maruti
1175,Hyundai EON D Lite Plus,2013,229999,13500,Petrol,Individual,Manual,First Owner,Hyundai
1176,Renault KWID 1.0 RXT Optional,2017,350000,10000,Petrol,Individual,Manual,First Owner,Renault
1177,Hyundai Grand i10 Magna,2015,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai
1178,Tata Tigor 1.2 Revotron XT,2018,450000,8500,Petrol,Individual,Manual,First Owner,Tata
1179,Maruti SX4 Celebration Diesel,2012,250000,120000,Diesel,Individual,Manual,First Owner,Maruti
1180,Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000,Diesel,Individual,Manual,First Owner,Volkswagen
1181,Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner,Maruti
1182,Maruti Alto LX BSIII,2008,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti
1183,Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner,Maruti
1184,Maruti Gypsy King Hard Top,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
1185,Renault Duster 85PS Diesel RxL,2017,610000,32000,Diesel,Individual,Manual,Second Owner,Renault
1186,Tata Manza Club Class Quadrajet90 VX,2013,170000,60400,Diesel,Individual,Manual,First Owner,Tata
1187,Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner,Hyundai
1189,Hyundai Xcent 1.1 CRDi Base,2015,375000,72000,Diesel,Individual,Manual,First Owner,Hyundai
1190,Maruti Swift VDI,2013,390000,90000,Diesel,Individual,Manual,First Owner,Maruti
1191,Hyundai i20 Active 1.2 S,2017,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai
1192,Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,Maruti
1193,Hyundai Verna CRDi,2009,270000,80000,Diesel,Individual,Manual,Second Owner,Hyundai
1194,Hyundai Grand i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai
1195,Maruti Baleno Zeta,2020,700000,1100,Petrol,Individual,Manual,First Owner,Maruti
1196,Maruti Swift VXI Deca,2017,455000,40000,Petrol,Individual,Manual,First Owner,Maruti
1197,Hyundai i10 Sportz 1.1L,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai
1198,Hyundai Grand i10 Asta,2014,341000,31491,Petrol,Individual,Manual,First Owner,Hyundai
1199,Maruti Swift Dzire VDI,2014,200000,107143,Diesel,Individual,Manual,Second Owner,Maruti
1200,Maruti Ignis 1.2 AMT Delta BSIV,2017,450000,15000,Petrol,Individual,Automatic,First Owner,Maruti
1201,Hyundai Santro Xing GL Plus,2012,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai
1202,Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000,100000,Diesel,Individual,Manual,First Owner,Toyota
1203,Mahindra Bolero Power Plus LX,2016,500000,60000,Diesel,Individual,Manual,First Owner,Mahindra
1204,Maruti Vitara Brezza ZDi Plus,2016,819999,85000,Diesel,Individual,Manual,First Owner,Maruti
1205,Maruti Swift 1.2 DLX,2014,351000,40000,Petrol,Individual,Manual,Second Owner,Maruti
1206,Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai
1207,Maruti Swift Dzire VDi,2008,250000,82000,Diesel,Individual,Manual,Second Owner,Maruti
1208,Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000,Petrol,Individual,Manual,Second Owner,Maruti
1209,Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner,Maruti
1210,Mahindra KUV 100 mFALCON D75 K6,2016,430000,20000,Diesel,Individual,Manual,First Owner,Mahindra
1211,Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner,Tata
1212,Mahindra Xylo D4,2017,750000,80000,Diesel,Individual,Manual,First Owner,Mahindra
1213,Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner,Tata
1214,Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000,46412,Diesel,Individual,Manual,First Owner,Toyota
1215,Mahindra Bolero SLX 2WD BSIII,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra
1216,Mahindra TUV 300 T4,2016,630000,50000,Diesel,Individual,Manual,First Owner,Mahindra
1217,Tata Safari Storme VX Varicor 400,2018,1085000,15000,Diesel,Individual,Manual,First Owner,Tata
1218,Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000,Petrol,Individual,Manual,Second Owner,Hyundai
1219,Maruti Baleno Delta Automatic,2018,550000,25000,Petrol,Individual,Automatic,First Owner,Maruti
1220,Maruti Alto 800 LXI,2012,200000,90000,Petrol,Individual,Manual,Third Owner,Maruti
1221,Chevrolet Spark 1.0 LT,2011,165000,60000,Petrol,Individual,Manual,First Owner,Chevrolet
1222,Ford Figo Diesel Celebration Edition,2013,260000,65000,Diesel,Individual,Manual,First Owner,Ford
1223,Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner,Maruti
1224,Maruti Vitara Brezza VDi,2018,780000,50000,Diesel,Individual,Manual,First Owner,Maruti
1225,Tata Indica Vista Quadrajet LX,2012,175000,80000,Diesel,Individual,Manual,Third Owner,Tata
1226,Tata Indica Vista TDI LS,2010,170000,107500,Diesel,Dealer,Manual,First Owner,Tata
1227,Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,Tata
1228,Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner,Maruti
1229,Hyundai i20 Active S Petrol,2016,535000,55838,Petrol,Dealer,Manual,First Owner,Hyundai
1230,Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,Maruti
1231,Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000,Diesel,Individual,Manual,Third Owner,Tata
1232,Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner,Nissan
1233,Hyundai Verna 1.6 SX VTVT (O),2013,425000,66000,Petrol,Individual,Manual,First Owner,Hyundai
1234,Renault KWID 1.0 RXT Optional,2017,300000,30300,Petrol,Individual,Manual,First Owner,Renault
1235,Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000,Diesel,Individual,Manual,Second Owner,Volkswagen
1236,Maruti Swift Dzire VXi,2009,250000,80659,Petrol,Dealer,Manual,First Owner,Maruti
1237,Chevrolet Aveo 1.4 LS,2008,170000,81324,Petrol,Dealer,Manual,First Owner,Chevrolet
1238,Honda Amaze S i-Dtech,2013,315000,127884,Diesel,Dealer,Manual,First Owner,Honda
1239,Chevrolet Beat PS,2015,200000,50000,Petrol,Individual,Manual,First Owner,Chevrolet
1240,Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner,Chevrolet
1241,Honda Amaze S i-Dtech,2015,300000,66755,Diesel,Dealer,Manual,First Owner,Honda
1242,Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner,Honda
1243,Maruti Swift VXI BSIII,2009,250000,806599,Petrol,Dealer,Manual,First Owner,Maruti
1244,Honda Amaze S i-Dtech,2013,310000,95851,Diesel,Dealer,Manual,First Owner,Honda
1245,Maruti Wagon R VXI Minor ABS,2010,260000,50000,Petrol,Individual,Manual,First Owner,Maruti
1246,Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000,Petrol,Individual,Manual,Second Owner,Maruti
1247,Maruti Esteem Vxi - BSIII,2006,85000,60000,Petrol,Individual,Manual,Second Owner,Maruti
1248,Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,Maruti
1249,Mahindra Xylo H4 ABS,2016,850000,40000,Diesel,Individual,Manual,First Owner,Mahindra
1250,Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner,Datsun
1251,Hyundai Elantra CRDi (Leather Option),2006,125000,120000,Diesel,Individual,Manual,Third Owner,Hyundai
1252,Chevrolet Beat Diesel LT,2012,250000,110000,Diesel,Individual,Manual,First Owner,Chevrolet
1253,Toyota Corolla Altis D-4D J,2014,715000,234000,Diesel,Individual,Manual,First Owner,Toyota
1254,Hyundai i20 1.4 CRDi Era,2011,220000,70000,Diesel,Individual,Manual,First Owner,Hyundai
1255,Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000,Diesel,Individual,Manual,Second Owner,Tata
1256,Hyundai Verna XXi (Petrol),2007,150000,84000,Petrol,Individual,Manual,Second Owner,Hyundai
1257,Nissan Sunny Diesel XV,2012,300000,170000,Diesel,Individual,Manual,First Owner,Nissan
1258,Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner,Datsun
1259,Maruti Wagon R LX,2006,75000,96000,Petrol,Individual,Manual,Second Owner,Maruti
1260,Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner,Tata
1261,Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000,Petrol,Individual,Manual,First Owner,Ford
1262,Hyundai Santro Xing XK (Non-AC),2007,100000,50000,Petrol,Individual,Manual,First Owner,Hyundai
1263,Volkswagen Passat 1.8 TSI MT,2010,480000,80000,Petrol,Individual,Manual,Second Owner,Volkswagen
1264,Toyota Etios GD,2012,300000,124000,Diesel,Individual,Manual,First Owner,Toyota
1265,Chevrolet Beat Diesel LS,2013,190000,70000,Diesel,Individual,Manual,First Owner,Chevrolet
1266,Ford Figo Diesel LXI,2012,190000,130000,Diesel,Individual,Manual,Second Owner,Ford
1267,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000,19014,Petrol,Dealer,Manual,First Owner,Ford
1268,Toyota Corolla Executive (HE),2009,300000,23262,Petrol,Dealer,Manual,First Owner,Toyota
1269,Ford Freestyle Titanium Diesel BSIV,2016,700000,29600,Diesel,Dealer,Manual,First Owner,Ford
1270,Hyundai i10 Sportz 1.1L,2015,310000,35925,Petrol,Dealer,Manual,First Owner,Hyundai
1271,Maruti Ignis 1.2 Zeta BSIV,2018,500000,12000,Petrol,Individual,Manual,First Owner,Maruti
1272,Toyota Etios V,2013,415000,40771,Petrol,Dealer,Manual,First Owner,Toyota
1273,Maruti Celerio VXI AT,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,Maruti
1274,Toyota Etios Liva 1.2 G,2014,430000,42000,Petrol,Dealer,Manual,Second Owner,Toyota
1275,Toyota Corolla H6,2007,215000,55800,Petrol,Dealer,Manual,Second Owner,Toyota
1276,Renault Duster RXL AWD,2014,550000,66569,Diesel,Dealer,Manual,First Owner,Renault
1277,Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358,Diesel,Dealer,Manual,First Owner,Volkswagen
1278,Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695,Diesel,Dealer,Manual,First Owner,Volkswagen
1279,Ford Figo Diesel EXI,2014,285000,68293,Diesel,Dealer,Manual,Second Owner,Ford
1280,Honda Jazz VX CVT,2016,580000,32000,Petrol,Dealer,Automatic,First Owner,Honda
1281,Maruti Swift Dzire Tour LDI,2014,300000,190621,Diesel,Dealer,Manual,First Owner,Maruti
1282,Hyundai Verna CRDi 1.6 SX Option,2018,1200000,60000,Diesel,Individual,Manual,First Owner,Hyundai
1283,Maruti 800 Std MPFi,2006,78000,64700,Petrol,Individual,Manual,First Owner,Maruti
1285,Tata Zest Quadrajet 1.3 75PS XE,2016,400000,88470,Diesel,Individual,Manual,First Owner,Tata
1286,Hyundai Verna 1.6 CRDI SX Option,2016,850000,75000,Diesel,Individual,Manual,First Owner,Hyundai
1287,Volkswagen Vento Diesel Highline,2013,450000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen
1288,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz
1289,Toyota Etios 1.4 VXD,2017,780000,70000,Diesel,Individual,Manual,First Owner,Toyota
1290,Toyota Fortuner 2.8 2WD AT BSIV,2017,3200000,57000,Diesel,Individual,Automatic,First Owner,Toyota
1291,Maruti Alto 800 VXI,2020,350000,1000,Petrol,Individual,Manual,First Owner,Maruti
1292,Mahindra Quanto C6,2013,285000,120000,Diesel,Individual,Manual,Second Owner,Mahindra
1293,Volkswagen Vento 1.5 TDI Highline,2015,525000,98000,Diesel,Dealer,Manual,First Owner,Volkswagen
1294,Maruti Ciaz ZDi,2014,550000,90000,Diesel,Dealer,Manual,Second Owner,Maruti
1295,Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,First Owner,Volkswagen
1296,Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner,Tata
1297,Tata Manza Aura Quadrajet,2009,185000,60000,Diesel,Individual,Manual,Third Owner,Tata
1298,Maruti Omni E 8 Str STD,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
1299,Honda City 1.5 EXI,2004,180000,200000,Petrol,Individual,Manual,Second Owner,Honda
1300,Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000,Diesel,Individual,Manual,Second Owner,Volkswagen
1301,Chevrolet Optra 1.6 LS,2005,60000,126000,Petrol,Individual,Manual,Second Owner,Chevrolet
1302,Mahindra TUV 300 T10,2018,695000,70000,Diesel,Individual,Manual,First Owner,Mahindra
1303,Mahindra Alturas G4 4X2 AT BSIV,2019,2700000,5000,Diesel,Individual,Automatic,First Owner,Mahindra
1304,Maruti Zen Estilo LX BSIII,2007,135000,74183,Petrol,Individual,Manual,Second Owner,Maruti
1305,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000,70000,Diesel,Individual,Manual,Second Owner,Mahindra
1306,Maruti Alto 800 VXI,2014,160000,90000,Petrol,Individual,Manual,First Owner,Maruti
1307,Tata Indica LXI,2004,80000,46000,Petrol,Individual,Manual,Second Owner,Tata
1308,Maruti Swift Dzire VDI,2013,340000,110000,Diesel,Individual,Manual,Second Owner,Maruti
1309,Maruti Ritz VDi,2012,110000,80000,Diesel,Individual,Manual,Second Owner,Maruti
1310,Tata Sumo Gold EX,2013,250000,90000,Diesel,Individual,Manual,Second Owner,Tata
1311,Toyota Innova Crysta 2.4 VX MT BSIV,2017,1300000,70000,Diesel,Individual,Manual,First Owner,Toyota
1312,Mahindra Quanto C6,2014,250000,1,Diesel,Individual,Manual,Second Owner,Mahindra
1313,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,450000,192000,Diesel,Individual,Manual,First Owner,Toyota
1314,Maruti Wagon R LX Minor,2013,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti
1315,Mahindra Bolero DI DX 7 Seater,2007,225000,120000,Diesel,Individual,Manual,Second Owner,Mahindra
1316,Maruti Wagon R VXI Optional,2015,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti
1317,Tata Sumo Victa CX 7/9 Str BSII,2012,320000,120000,Diesel,Individual,Manual,Second Owner,Tata
1318,Maruti Alto LX BSIII,2008,75000,120000,Petrol,Individual,Manual,First Owner,Maruti
1319,Tata Indica GLS BS IV,2007,85000,50000,Petrol,Individual,Manual,Second Owner,Tata
1320,Tata Indica Vista Aqua TDI BSIII,2009,90000,120000,Diesel,Individual,Manual,First Owner,Tata
1321,Maruti Wagon R LXI Minor,2007,85000,80000,Petrol,Individual,Manual,Second Owner,Maruti
1322,Mahindra Scorpio M2DI,2008,350000,80000,Diesel,Individual,Manual,Second Owner,Mahindra
1323,Skoda Superb Elegance 2.0 TDI CR AT,2009,355000,100000,Diesel,Individual,Automatic,Second Owner,Skoda
1324,Maruti Swift VXI,2020,619000,1500,Petrol,Individual,Manual,First Owner,Maruti
1325,Jeep Compass 2.0 Longitude Option BSIV,2018,1700000,50000,Diesel,Individual,Manual,First Owner,Jeep
1326,Tata Indica DL,2006,55000,100000,Diesel,Individual,Manual,Second Owner,Tata
1327,Ford Fiesta 1.6 ZXi Leather,2006,95000,83411,Petrol,Individual,Manual,First Owner,Ford
1328,Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen
1329,Ford Fiesta 1.6 ZXi Leather,2006,81000,83411,Petrol,Individual,Manual,First Owner,Ford
1330,Skoda Superb Elegance 2.0 TDI CR AT,2015,1000000,80000,Diesel,Individual,Automatic,Second Owner,Skoda
1331,Maruti Ertiga VDI,2019,925000,50000,Diesel,Individual,Manual,First Owner,Maruti
1332,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,450000,40000,Diesel,Individual,Manual,First Owner,Mahindra
1333,Mahindra Scorpio EX,2014,600000,13270,Diesel,Individual,Manual,First Owner,Mahindra
1334,Hyundai Santro Xing XL AT eRLX Euro III,2006,85000,100000,Petrol,Individual,Automatic,Third Owner,Hyundai
1335,Mahindra Thar DI 4X4 PS,2016,700000,50000,Diesel,Individual,Manual,First Owner,Mahindra
1336,Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,486000,26500,Petrol,Individual,Manual,First Owner,Hyundai
1337,Maruti Swift VDI,2013,400000,90000,Diesel,Individual,Manual,First Owner,Maruti
1338,Ford Fiesta 1.4 Duratec ZXI,2008,120000,100000,Petrol,Individual,Manual,Third Owner,Ford
1339,Maruti Alto 800 LXI,2018,275000,35000,Petrol,Individual,Manual,First Owner,Maruti
1340,Hyundai i20 Asta Option 1.4 CRDi,2016,580000,57000,Diesel,Individual,Manual,First Owner,Hyundai
1341,Maruti Swift Dzire LXI,2015,375000,70000,Petrol,Individual,Manual,First Owner,Maruti
1342,Maruti Wagon R VXI BS IV with ABS,2015,229999,100000,Petrol,Individual,Manual,Third Owner,Maruti
1343,Maruti Alto LX,2010,110000,88000,Petrol,Individual,Manual,Second Owner,Maruti
1344,Maruti Swift Dzire VDI,2017,600000,60000,Diesel,Individual,Manual,First Owner,Maruti
1345,Maruti A-Star Vxi,2009,120000,76000,Petrol,Individual,Manual,Second Owner,Maruti
1346,Ford Figo Diesel Titanium,2010,200000,100000,Diesel,Individual,Manual,Second Owner,Ford
1347,Hyundai Verna 1.6 SX CRDi (O),2012,450000,110000,Diesel,Individual,Manual,Second Owner,Hyundai
1348,Hyundai Verna 1.6 SX CRDi (O),2012,550000,80000,Diesel,Individual,Manual,Second Owner,Hyundai
1349,Maruti Alto LX,2012,220000,80000,Petrol,Individual,Manual,Second Owner,Maruti
1350,Maruti 800 EX,2001,40000,30000,Petrol,Individual,Manual,First Owner,Maruti
1351,Renault KWID Climber 1.0 AMT,2017,300000,20000,Petrol,Individual,Automatic,First Owner,Renault
1352,Mahindra Bolero Power Plus SLE,2018,630000,40000,Diesel,Individual,Manual,First Owner,Mahindra
1353,Maruti Swift Dzire VDI,2017,610000,40000,Diesel,Individual,Manual,Second Owner,Maruti
1354,Hyundai Xcent 1.2 VTVT S,2019,660000,7000,Petrol,Individual,Manual,Second Owner,Hyundai
1355,Maruti Wagon R LXI LPG BSIV,2012,220000,80000,LPG,Individual,Manual,Second Owner,Maruti
1356,Nissan Micra Diesel XV Premium,2011,138000,90000,Diesel,Individual,Manual,Second Owner,Nissan
1357,Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner,Nissan
1358,Maruti Zen LXi - BS III,2005,125000,34000,Petrol,Dealer,Manual,First Owner,Maruti
1359,Maruti Alto LXi BSIII,2008,125000,102000,Petrol,Dealer,Manual,First Owner,Maruti
1360,Honda City i DTEC SV,2014,725000,110000,Diesel,Individual,Manual,First Owner,Honda
1361,Maruti Alto K10 2010-2014 VXI,2011,170000,90000,Petrol,Individual,Manual,Second Owner,Maruti
1362,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1200000,70000,Diesel,Individual,Manual,Third Owner,Toyota
1363,Maruti Wagon R VXI BSIII,2003,70000,90000,Petrol,Individual,Manual,Second Owner,Maruti
1364,Maruti Alto LXi,2007,100000,70000,Petrol,Individual,Manual,Second Owner,Maruti
